MHG,MAG,LMV,LMD,LWS,LUBS,LLS,LWLSS,AggregatedAttendance
0.100755668,0.040063467,-0.073907285,-0.72130102,0.859080032,1.035187581,-0.305798253,-0.462153846,0.518833567
0.100755668,0.040063467,-0.073907285,-0.163903061,0.626695028,1.487451488,-0.305798253,-0.462153846,0.595273539
0.375944584,0.040063467,0.157615894,-0.442602041,0.394310024,1.487451488,-0.652899126,-0.641435897,0.777505628
0.651133501,0.386751289,0.389139073,-0.442602041,1.091465036,0.695989651,-0.652899126,-0.282871795,0.682416128
0.375944584,0.733439111,0.157615894,-0.163903061,0.394310024,0.582923674,-0.652899126,-0.462153846,0.701907244
1.201511335,0.733439111,0.85218543,-0.442602041,0.859080032,0.469857697,-0.305798253,-0.641435897,0.702652488
0.926322418,1.080126934,0.620662252,-0.163903061,0.394310024,-0.208538163,-0.305798253,-0.103589744,0.516757934
0.375944584,0.386751289,0.157615894,-0.163903061,-0.070459984,0.243725744,-0.305798253,-0.103589744,0.791877794
1.201511335,0.386751289,0.85218543,-0.163903061,0.394310024,0.130659767,0.041302621,0.075692308,1.093371653
0.651133501,0.386751289,0.389139073,-0.442602041,0.626695028,0.243725744,-0.305798253,-0.282871795,0.513863382
0.651133501,0.040063467,0.389139073,-0.163903061,0.394310024,1.487451488,-0.652899126,-0.641435897,0.704280408
0.100755668,0.386751289,-0.073907285,-0.163903061,-0.302844988,0.356791721,-0.305798253,0.254974359,0.521335662
0.375944584,-0.306624355,0.157615894,-0.163903061,1.32385004,0.469857697,-0.652899126,-0.641435897,0.053373191
0.375944584,1.080126934,0.389139073,0.114795918,-0.070459984,0.809055627,-0.305798253,-0.462153846,0.702930184
0.375944584,1.080126934,0.389139073,0.114795918,0.394310024,-0.095472186,-0.305798253,-0.103589744,0.78458545
0.100755668,-0.653312178,-0.073907285,-0.442602041,-0.302844988,-0.32160414,-0.305798253,-0.462153846,0.538975001
-0.174433249,0.733439111,0.157615894,-0.442602041,-0.302844988,-0.32160414,0.041302621,-0.462153846,0.572396237
0.100755668,1.426814756,0.620662252,-0.163903061,0.16192502,0.809055627,-0.305798253,0.075692308,0.656513926
-0.724811083,0.386751289,-0.073907285,-0.163903061,0.16192502,-0.095472186,-0.305798253,-0.462153846,0.411708229
1.201511335,-0.306624355,0.85218543,-0.163903061,0.626695028,0.243725744,-0.305798253,-0.462153846,0.650070254
0.375944584,0.386751289,0.157615894,-0.442602041,0.16192502,0.809055627,-0.652899126,-0.820717949,0.633357511
0.375944584,0.386751289,0.157615894,-0.442602041,0.394310024,-0.32160414,0.388403495,-0.282871795,0.428829014
0.375944584,0.040063467,0.157615894,-0.163903061,-0.070459984,-0.095472186,0.041302621,0.075692308,0.538727059
0.375944584,-0.306624355,0.157615894,0.114795918,-0.302844988,0.243725744,0.041302621,-0.462153846,0.627975033
0.375944584,1.080126934,0.389139073,-0.163903061,-0.070459984,-0.095472186,-0.305798253,-0.103589744,0.609002471
0.100755668,0.040063467,0.157615894,-0.442602041,1.091465036,0.01759379,-0.305798253,-0.462153846,0.324839086
-0.174433249,0.040063467,-0.305430464,0.393494898,-0.070459984,-0.095472186,0.388403495,-0.282871795,0.693540955
-0.174433249,0.733439111,0.389139073,-0.163903061,-0.070459984,0.356791721,-0.305798253,-0.103589744,1.075448951
0.375944584,0.733439111,0.157615894,0.114795918,0.16192502,0.695989651,0.041302621,-0.103589744,0.624930299
-1,0.040063467,-0.305430464,0.393494898,-0.535229992,-0.773868047,0.041302621,0.254974359,0.299599953
-0.449622166,1.426814756,0.620662252,0.114795918,-0.535229992,-0.547736093,3.512311358,2.227076923,0.149713738
-0.724811083,0.386751289,-0.073907285,0.114795918,0.16192502,0.469857697,-0.305798253,0.43425641,0.17709226
