"League"	"LID"	"CID"	"Club"	"Season"	"MostHomeGoals"	"MostAwayGoals"	"LargestMarginofVictory"	"LargestMarginofDefeat"	"LongestWinningStreak"	"LongestUnbeatenStreak"	"LongestLosingStreak"	"LongestWinlessStreak"	"LargestAttendance"	"LowestAttendance"	"AverageAttendance"	"AggregatedAttendance"
"91"	"La_Liga"	15	243	"Sevilla"	2014	5	4	4	4	5	10	2	3	40355	20000	30997	588959
"92"	"La_Liga"	15	243	"Sevilla"	2015	5	2	5	4	2	6	3	5	40395	21931	33998	645966
"93"	"La_Liga"	15	243	"Sevilla"	2016	6	4	5	3	5	5	1	5	40835	26100	32825	623684
"94"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2001	5	3	5	3	3	11	2	3	35000	17000	28947	550000
"95"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2002	6	4	6	3	5	10	2	2	35500	2800	27266	490800
"96"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2003	5	5	5	3	4	7	3	4	29000	17000	25144	477753
"97"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2004	4	2	3	4	2	6	3	5	29500	22000	24766	297200
"98"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2005	3	3	3	4	3	4	2	6	NA	NA	NA	NA
"99"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2006	3	3	2	4	2	8	3	9	NA	NA	NA	NA
"100"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2007	3	3	3	3	5	5	3	4	34000	12000	24137	193100
"101"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2008	5	3	3	5	3	6	3	4	32000	12000	21184	402500
"102"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2009	3	3	3	4	4	4	4	11	32000	9000	21240	403568
"103"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2010	3	2	3	5	2	5	3	8	34000	12000	22473	427000
"104"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2012	4	4	4	6	4	4	6	9	36000	25000	30416	577911
"105"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2014	3	2	3	6	2	3	4	12	30334	14167	20602	391453
"106"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2015	3	3	3	8	2	7	3	13	29666	16185	23060	438151
"107"	"La_Liga"	15	90	"Deportivo_La_Coruña"	2016	5	3	4	4	1	4	4	7	30810	18466	22353	424708
"108"	"La_Liga"	15	102	"Villarreal"	2000	4	5	4	2	4	4	2	5	NA	NA	NA	NA
"109"	"La_Liga"	15	102	"Villarreal"	2001	5	2	3	3	2	3	3	8	23000	7000	16376	278400
"110"	"La_Liga"	15	102	"Villarreal"	2002	6	2	6	5	2	3	2	4	23000	10000	16755	301600
"111"	"La_Liga"	15	102	"Villarreal"	2003	6	3	3	3	2	5	3	4	21000	9000	15842	301000
"112"	"La_Liga"	15	102	"Villarreal"	2004	4	4	4	2	5	10	3	6	22000	15000	17909	197000
"113"	"La_Liga"	15	102	"Villarreal"	2005	4	3	4	2	2	9	2	4	NA	NA	NA	NA
"114"	"La_Liga"	15	102	"Villarreal"	2006	3	4	3	4	8	8	3	4	NA	NA	NA	NA
"115"	"La_Liga"	15	102	"Villarreal"	2007	4	4	3	5	6	9	2	3	22500	19500	21000	147000
"116"	"La_Liga"	15	102	"Villarreal"	2008	4	4	3	3	5	10	3	4	25000	10000	18456	350668
"117"	"La_Liga"	15	102	"Villarreal"	2009	5	3	5	4	3	4	3	7	24000	12000	16053	305023
"118"	"La_Liga"	15	102	"Villarreal"	2010	4	3	4	5	5	9	2	4	21500	15000	18605	353500
"119"	"La_Liga"	15	102	"Villarreal"	2011	3	3	3	5	2	5	3	6	22000	11000	18000	342000
"120"	"La_Liga"	15	102	"Villarreal"	2013	5	5	4	2	3	6	2	4	25500	13000	17642	335199
"121"	"La_Liga"	15	102	"Villarreal"	2014	4	3	4	4	5	10	2	8	23000	7500	17204	326892
"122"	"La_Liga"	15	102	"Villarreal"	2015	3	3	3	3	6	13	2	3	23450	12843	16818	319555
"123"	"La_Liga"	15	102	"Villarreal"	2016	5	4	5	3	3	9	2	3	22110	14757	17545	333356
"124"	"La_Liga"	15	244	"Real_Betis"	2001	4	3	3	3	4	11	2	6	55000	21000	39411	748825
