"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[439]",0.274172377090909,0.2740825,0.275286010081748,11000,0.95,0.241038,0.3078,NA,NA,NA,NA,NA,NA,NA
"theta[440]",0.263625050181818,0.263007,0.262334823514988,11000,0.95,0.20812,0.319327,NA,NA,NA,NA,NA,NA,NA
"theta[441]",0.245639701636364,0.245225,0.243118583946298,11000,0.95,0.208737,0.283268,NA,NA,NA,NA,NA,NA,NA
"theta[442]",0.1176503159,0.116232,0.114257346735994,9959.4,0.95,0.0676907,0.171423,NA,NA,NA,NA,NA,NA,NA
"theta[443]",0.233352440454545,0.233066,0.229515100239699,11000,0.95,0.203217,0.264325,NA,NA,NA,NA,NA,NA,NA
"theta[444]",0.241003985454545,0.240415,0.237550074557328,10833.6,0.95,0.191076,0.288253,NA,NA,NA,NA,NA,NA,NA
"theta[445]",0.272898020090909,0.2725625,0.271498250067598,11000,0.95,0.233691,0.314176,NA,NA,NA,NA,NA,NA,NA
"theta[446]",0.242878581818182,0.241832,0.238152395138447,11000,0.95,0.186747,0.299631,NA,NA,NA,NA,NA,NA,NA
"theta[447]",0.279564714727273,0.2794615,0.276530968729808,11000,0.95,0.249226,0.308164,NA,NA,NA,NA,NA,NA,NA
"theta[448]",0.222731440090909,0.222569,0.222663153607772,11269.3,0.95,0.181994,0.261352,NA,NA,NA,NA,NA,NA,NA
"theta[449]",0.276867342090909,0.276408,0.274351418412835,11000,0.95,0.240825,0.3132,NA,NA,NA,NA,NA,NA,NA
"theta[450]",0.267480776272727,0.2674015,0.268898777925555,11000,0.95,0.235357,0.300321,NA,NA,NA,NA,NA,NA,NA
"theta[451]",0.250251246,0.2500485,0.247454701555214,10544.3,0.95,0.219821,0.281215,NA,NA,NA,NA,NA,NA,NA
"theta[452]",0.123974307654545,0.1217725,0.114549059315839,11000,0.95,0.0594469,0.188762,NA,NA,NA,NA,NA,NA,NA
"theta[453]",0.246759557363636,0.246568,0.245744471838709,11000,0.95,0.202508,0.292406,NA,NA,NA,NA,NA,NA,NA
"theta[454]",0.249943873727273,0.24958,0.249330111779006,11000,0.95,0.202601,0.298823,NA,NA,NA,NA,NA,NA,NA
"theta[455]",0.124847146354545,0.122986,0.118610165269149,11000,0.95,0.0665005,0.183756,NA,NA,NA,NA,NA,NA,NA
"theta[456]",0.230582928,0.230595,0.233160687962583,11000,0.95,0.184507,0.27773,NA,NA,NA,NA,NA,NA,NA
"theta[457]",0.248513362818182,0.24788,0.245336586440313,11000,0.95,0.203643,0.292663,NA,NA,NA,NA,NA,NA,NA
"theta[458]",0.137465560454545,0.134266,0.129230423121626,10644.4,0.95,0.0744678,0.207343,NA,NA,NA,NA,NA,NA,NA
"theta[459]",0.242650213545455,0.2429315,0.243849706135046,10444.9,0.95,0.203228,0.283374,NA,NA,NA,NA,NA,NA,NA
"theta[460]",0.135660153481818,0.1343145,0.135597162668677,11000,0.95,0.0790614,0.197698,NA,NA,NA,NA,NA,NA,NA
"theta[461]",0.286920348636364,0.286681,0.288512748248679,11000,0.95,0.252746,0.323607,NA,NA,NA,NA,NA,NA,NA
"theta[462]",0.275815137727273,0.2754725,0.275633322278851,11000,0.95,0.245208,0.308193,NA,NA,NA,NA,NA,NA,NA
"theta[463]",0.132700777318182,0.1306975,0.12766930725174,11000,0.95,0.0765961,0.193069,NA,NA,NA,NA,NA,NA,NA
"theta[464]",0.259906424636364,0.259427,0.257510329260477,11000,0.95,0.214363,0.304461,NA,NA,NA,NA,NA,NA,NA
"theta[465]",0.1123629832,0.1112155,0.111221229719821,10507.4,0.95,0.0607117,0.163839,NA,NA,NA,NA,NA,NA,NA
"theta[466]",0.301398183909091,0.3011045,0.297387191570132,11000,0.95,0.262479,0.338052,NA,NA,NA,NA,NA,NA,NA
"theta[467]",0.1591418862,0.1568955,0.151383242888223,9896.7,0.95,0.102727,0.219537,NA,NA,NA,NA,NA,NA,NA
"theta[468]",0.125343735872727,0.1233285,0.12174932528673,11000,0.95,0.0667309,0.188575,NA,NA,NA,NA,NA,NA,NA
"theta[469]",0.255077487181818,0.254836,0.253881988921993,11000,0.95,0.224963,0.282536,NA,NA,NA,NA,NA,NA,NA
"theta[470]",0.255093337090909,0.254994,0.256177730991245,11000,0.95,0.225465,0.284275,NA,NA,NA,NA,NA,NA,NA
